File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
E:\ERP\erp\lib\features\auth\logic\stock\warehosue_permesion_cubit.dart,79,61,44,4,16,1,2,9,0,0
E:\ERP\erp\lib\features\auth\logic\stock\warehouse_cubit.dart,52,38,28,0,12,1,2,9,0,0
E:\ERP\erp\lib\features\auth\presentation\home_screen.dart,259,244,40,5,12,14,3,69,0,0
E:\ERP\erp\lib\features\auth\presentation\login_page.dart,109,101,23,4,4,1,4,17,0,0
E:\ERP\erp\lib\features\auth\presentation\splash_screen.dart,80,67,23,1,9,2,4,27,0,0
E:\ERP\erp\lib\features\auth\presentation\accounts\accounts_screen.dart,75,69,18,5,4,12,2,40,0,0
E:\ERP\erp\lib\features\auth\presentation\accounts\assests_screen.dart,120,111,28,9,6,20,3,78,0,0
E:\ERP\erp\lib\features\auth\presentation\accounts\daily.dart,203,194,35,13,7,34,2,107,0,0
E:\ERP\erp\lib\features\auth\presentation\accounts\tree_view_of_accounts.dart,76,69,17,6,7,15,0,59,0,0
E:\ERP\erp\lib\features\auth\presentation\clients\clients.dart,365,348,65,22,13,0,4,5,1,1
E:\ERP\erp\lib\features\auth\presentation\finance\banks_ui.dart,521,494,102,43,23,1,4,17,0,0
E:\ERP\erp\lib\features\auth\presentation\finance\expences.dart,305,286,49,19,15,0,4,10,0,0
E:\ERP\erp\lib\features\auth\presentation\finance\recipt.dart,344,326,57,17,13,2,5,18,0,0
E:\ERP\erp\lib\features\auth\presentation\purchase\debitnote.dart,418,401,53,16,9,0,8,16,0,0
E:\ERP\erp\lib\features\auth\presentation\purchase\purchase_invoice.dart,563,530,85,22,19,21,14,129,0,0
E:\ERP\erp\lib\features\auth\presentation\purchase\purchase_invoicerefund.dart,551,523,80,22,15,22,13,134,0,0
E:\ERP\erp\lib\features\auth\presentation\purchase\supplier.dart,327,304,64,18,16,0,7,12,0,0
E:\ERP\erp\lib\features\auth\presentation\sales\quotation_screen.dart,351,333,62,15,12,0,6,10,0,0
E:\ERP\erp\lib\features\auth\presentation\sales\recuringinvoice_screen.dart,374,355,75,18,13,0,6,10,0,0
E:\ERP\erp\lib\features\auth\presentation\sales\salesinvoice_screen.dart,355,333,71,20,14,1,8,18,0,0
E:\ERP\erp\lib\features\auth\presentation\stock\permission_details_screen.dart,111,97,12,2,5,3,9,32,0,0
E:\ERP\erp\lib\features\auth\presentation\stock\products.dart,331,245,53,24,8,9,78,198,0,0
E:\ERP\erp\lib\features\auth\presentation\stock\warehosue_permesion_screen.dart,163,155,37,9,5,0,3,5,0,0
E:\ERP\erp\lib\features\auth\presentation\stock\warehouse_details_screen.dart,120,105,12,2,5,2,10,31,0,0
E:\ERP\erp\lib\features\auth\presentation\stock\warehouse_screen.dart,91,88,26,7,3,0,0,0,0,0
E:\ERP\erp\test\widget_test.dart,31,14,13,0,7,0,10,87,6,59
